date,state,city_or_county,address,n_killed,n_injured,incident_url,source_url
"February 23, 2013",California,Lancaster,43145 Business Center Parkway,0,4,http://www.gunviolencearchive.org/incident/480407,http://latimesblogs.latimes.com/lanow/2013/02/suspects-sought-in-shooting-outside-lancaster-club.html
"February 24, 2013",Georgia,Macon,2800 block of Mercer University Drive,0,8,http://www.gunviolencearchive.org/incident/480443,http://www.macon.com/news/local/crime/article30130797.html
"March 2, 2013",Louisiana,Shreveport,7000 block of Burlingame Boulevard,1,3,http://www.gunviolencearchive.org/incident/481186,http://www.shreveportla.gov/DocumentCenter/View/1193
"March 3, 2013",Georgia,Moultrie,224 Second Street Northwest,2,2,http://www.gunviolencearchive.org/incident/481198,http://www.moultrieobserver.com/news/jury-says-not-guilty/article_013dc4e6-6ad4-11e4-a86b-ef334c46f871.html
"March 3, 2013",Michigan,Saginaw (county),4030 Dixie Hwy,0,4,http://www.gunviolencearchive.org/incident/481208,http://www.mlive.com/news/saginaw/index.ssf/2013/03/police_gang-related_shootout_a.html
"March 4, 2013",California,Los Banos,800 block of La Mesa Lane,1,3,http://www.gunviolencearchive.org/incident/481213,http://www.mercedsunstar.com/news/local/article3286805.html
"March 5, 2013",Indiana,Indianapolis,1800 block of Edinburge Square,1,3,http://www.gunviolencearchive.org/incident/481220,http://www.wthr.com/story/21528147/multiple-people-shot-at-east-indianapolis-residence
"March 7, 2013",Mississippi,Jackson,2900 block of Greenwood Avenue,2,2,http://www.gunviolencearchive.org/incident/481229,http://www.wapt.com/news/central-mississippi/jackson/sentencing-set-for-man-convicted-in-quadruple-shooting/28088370
"March 10, 2013",Missouri,Kansas City,9331 Hillcrest Rd,0,5,http://www.gunviolencearchive.org/incident/481237,http://m.columbiatribune.com/news/five-shot-during-kansas-city-concert/article_44d12a66-8a77-11e2-af1d-10604b9f6eda.html
"March 11, 2013",District of Columbia,Washington,1200 North Capitol Street,0,13,http://www.gunviolencearchive.org/incident/482771,https://www.washingtonpost.com/local/police-seek-two-men-in-connection-with-shooting-that-injured-13/2013/03/14/4fa6145a-8cda-11e2-9838-d62f083ba93f_story.html
"March 13, 2013",California,Oceanside,504 Calle Montecito,2,2,http://www.gunviolencearchive.org/incident/482801,http://www.sandiegouniontribune.com/news/2014/dec/16/libby-lake-gang-shootings-death-penalty/
"March 13, 2013",New York,Mohawk,17 W Main St,6,2,http://www.gunviolencearchive.org/incident/482856,http://www.syracuse.com/news/index.ssf/2013/03/herkimer_county_fatal_shooting.html
"March 14, 2013",California,Modesto,1400 block of Western Way,0,4,http://www.gunviolencearchive.org/incident/482838,https://www.youtube.com/watch?v=3JHY2dsaqrI
"March 16, 2013",California,Galt,Dover Drive,0,7,http://www.gunviolencearchive.org/incident/482926,http://fox40.com/2013/03/16/mass-casualty-incident-declared-in-galt-after-reported-shooting/
"March 17, 2013",California,Stockton,1800 block of East Sonora Street,2,3,http://www.gunviolencearchive.org/incident/482934,http://archive.news10.net/rss/article/237015/479/Police-continue-to-investigate-Stockton-shooting-after-suspect-cleared
"March 17, 2013",Florida,Belle Glade,Northwest 16th Street and Northwest Avenue L,0,5,http://www.gunviolencearchive.org/incident/482942,http://www.wpbf.com/news/south-florida/palm-beach-county-news/5-wounded-in-shooting-at-Club-21-in-Belle-Glade/19350878
"March 21, 2013",Illinois,Chicago,West 87th Street and Ashland Avenue,0,7,http://www.gunviolencearchive.org/incident/483737,http://www.dnainfo.com/chicago/20130321/auburn-gresham/shooting-at-record-release-party-leaves-seven-wounded
"March 21, 2013",Missouri,Kansas City,4900 block of Brookside Blvd,1,3,http://www.gunviolencearchive.org/incident/483765,http://www.kmbc.com/news/1-dead-in-Brookside-Boulevard-quadruple-shooting/19423270
"March 22, 2013",New York,Brooklyn,2703 W. 33rd Street,1,3,http://www.gunviolencearchive.org/incident/483788,http://www.nytimes.com/2013/03/23/nyregion/man-killed-in-coney-island-shooting-three-are-wounded.html?_r=0
"March 30, 2013",California,Merced (county),9200 block of Westside Boulevard,3,2,http://www.gunviolencearchive.org/incident/483835,http://www.sacbee.com/news/article2604101.html
"March 31, 2013",Washington,Auburn,2802 Auburn Way North,3,2,http://www.gunviolencearchive.org/incident/483817,http://www.auburn-reporter.com/news/299950811.html
"April 6, 2013",South Carolina,Greenwood,Tabor Street,1,4,http://www.gunviolencearchive.org/incident/483861,http://gwdtoday.com/main.asp?SectionID=2&SubSectionID=27&ArticleID=24847
"April 7, 2013",New York,New York (Manhattan),900 Garden Way,1,3,http://www.gunviolencearchive.org/incident/483872,http://www.jcpost.com/2013/04/08/riley-county-police-make-arrest-in-fatal-shooting-investigation/
"April 7, 2013",California,Long Beach,300 block of East Home Street,1,3,http://www.gunviolencearchive.org/incident/483878,http://patch.com/california/longbeach-ca/man-dies-from-gunshot-wound
"April 9, 2013",Pennsylvania,Philadelphia,Somerset Street and Lee Street,1,3,http://www.gunviolencearchive.org/incident/484268,http://guncrisis.org/2013/04/10/quadruple-shooting-sets-off-violent-night-in-philadelphia/
"April 10, 2013",California,Vallejo,1800 block of Mini Drive,0,4,http://www.gunviolencearchive.org/incident/484279,http://abclocal.go.com/story?section=news/local/north_bay&id=9061192
"April 14, 2013",Kentucky,Lexington,750 East New Circle Rd,1,4,http://www.gunviolencearchive.org/incident/484287,http://www.wlky.com/news/local-news/kentucky-news/police-make-arrest-in-bowling-alley-shooting/20644068
"April 14, 2013",Arizona,Phoenix,12400 North 25th Avenue,2,4,http://www.gunviolencearchive.org/incident/484307,http://ktar.com/story/71788/2-dead-4-wounded-in-drive-by-shooting-in-north-phoenix/
"April 18, 2013",Ohio,Akron,Kimlyn Circle,4,0,http://www.gunviolencearchive.org/incident/484317,http://www.huffingtonpost.com/2013/04/19/ohio-basement-murders-cop_n_3114243.html
"April 21, 2013",Washington,Federal Way,33300 block of 18th Lane South,5,0,http://www.gunviolencearchive.org/incident/484333,http://blogs.seattletimes.com/today/2013/04/5-dead-in-federal-way-shooting/
"April 22, 2013",Illinois,Chicago (Englewood),5700 block of South Lowe Avenue,0,4,http://www.gunviolencearchive.org/incident/484351,http://www.dnainfo.com/chicago/20130422/englewood/four-wounded-afternoon-shooting-englewood
"April 22, 2013",Louisiana,Harvey,2300 block of Lapalco Boulevard,0,5,http://www.gunviolencearchive.org/incident/485746,http://theadvocate.com/news/neworleans/13833714-148/high-profile-harvey-hustlers-trial-underway
"April 24, 2013",Illinois,Manchester,East Street,6,1,http://www.gunviolencearchive.org/incident/485811,http://fox2now.com/2013/04/25/family-needs-help-to-bury-manchester-il-shooting-victims/
"April 25, 2013",Ohio,Oberlin,500 block of West College Street,0,4,http://www.gunviolencearchive.org/incident/489185,http://chronicle.northcoastnow.com/2013/11/08/jury-refuses-indictment-in-oberlin-shooting-case/
"April 27, 2013",Florida,Williston,County Road 318,1,3,http://www.gunviolencearchive.org/incident/485821,https://www.youtube.com/watch?v=AzC_jFR7k6c
